pm2_5,city,co,pm10,level,o3,source,so2,crawl_time,date,aqi,no2
38,上海,0.8,45,良,80,aqi_redis_spider,9,2018-05-12 08:19:37.256000,2014-05-11,54,30
82,上海,1.1,94,轻度污染,165,aqi_redis_spider,23,2018-05-12 08:19:37.259000,2014-05-12,109,53
58,上海,0.8,84,良,139,aqi_redis_spider,20,2018-05-12 08:19:37.262000,2014-05-13,83,47
73,上海,1.1,77,轻度污染,200,aqi_redis_spider,19,2018-05-12 08:19:37.264000,2014-05-14,136,47
28,上海,0.6,44,优,98,aqi_redis_spider,11,2018-05-12 08:19:37.266000,2014-06-11,49,28
55,上海,0.7,76,良,136,aqi_redis_spider,14,2018-05-12 08:19:37.269000,2014-06-12,80,40
84,上海,0.9,121,中度污染,217,aqi_redis_spider,22,2018-05-12 08:19:37.272000,2014-06-13,152,53
94,上海,0.9,140,中度污染,247,aqi_redis_spider,22,2018-05-12 08:19:37.275000,2014-06-14,182,54
18,上海,0.5,28,优,97,aqi_redis_spider,9,2018-05-12 08:19:37.279000,2015-06-03,49,27
26,上海,0.5,52,良,118,aqi_redis_spider,13,2018-05-12 08:19:37.282000,2015-06-04,65,46
66,上海,0.7,86,中度污染,253,aqi_redis_spider,16,2018-05-12 08:19:37.285000,2015-06-05,188,40
72,上海,0.6,104,中度污染,218,aqi_redis_spider,13,2018-05-12 08:19:37.288000,2015-06-06,153,29
90,上海,0.9,103,轻度污染,81,aqi_redis_spider,34,2018-05-12 08:19:37.856000,2013-12-15,119,46
22,上海,0.5,24,优,52,aqi_redis_spider,18,2018-05-12 08:19:37.859000,2013-12-16,32,35
13,上海,0.7,12,优,47,aqi_redis_spider,15,2018-05-12 08:19:37.861000,2013-12-17,24,30
46,上海,0.7,59,良,61,aqi_redis_spider,22,2018-05-12 08:19:37.864000,2013-12-18,64,29
101,上海,1.1,114,轻度污染,47,aqi_redis_spider,47,2018-05-12 08:19:37.866000,2013-12-19,132,53
97,上海,1.2,147,轻度污染,188,aqi_redis_spider,20,2018-05-12 08:19:37.869000,2014-07-10,127,50
127,上海,1.2,172,中度污染,147,aqi_redis_spider,15,2018-05-12 08:19:37.872000,2014-07-11,167,55
79,上海,1,112,轻度污染,156,aqi_redis_spider,10,2018-05-12 08:19:37.875000,2014-07-12,106,46
40,上海,0.9,51,良,94,aqi_redis_spider,10,2018-05-12 08:19:37.877000,2014-07-13,57,34
87,上海,1.3,125,轻度污染,46,aqi_redis_spider,53,2018-05-12 08:19:37.880000,2014-12-06,115,87
79,上海,1.2,115,轻度污染,39,aqi_redis_spider,33,2018-05-12 08:19:37.882000,2014-12-07,105,92
103,上海,1.1,130,轻度污染,68,aqi_redis_spider,38,2018-05-12 08:19:37.884000,2014-12-08,135,61
33,上海,0.6,47,优,64,aqi_redis_spider,18,2018-05-12 08:19:37.887000,2014-12-09,48,51
56,上海,1,80,良,26,aqi_redis_spider,25,2018-05-12 08:19:37.889000,2014-12-10,76,76
45,上海,0.9,49,良,79,aqi_redis_spider,17,2018-05-12 08:19:41.995000,2016-02-01,63,28
87,上海,1.4,103,轻度污染,79,aqi_redis_spider,32,2018-05-12 08:19:41.997000,2016-02-02,115,58
32,上海,0.6,55,良,94,aqi_redis_spider,15,2018-05-12 08:19:42.007000,2016-03-01,53,39
85,上海,0.8,102,轻度污染,152,aqi_redis_spider,13,2018-05-12 08:19:42.017000,2016-04-01,113,55
54,上海,0.6,59,良,114,aqi_redis_spider,12,2018-05-12 08:19:42.020000,2016-04-02,74,46
47,上海,0.7,70,轻度污染,173,aqi_redis_spider,13,2018-05-12 08:19:42.030000,2016-05-01,112,31
78,上海,0.8,80,轻度污染,157,aqi_redis_spider,11,2018-05-12 08:19:42.033000,2015-07-03,104,29
